text,label,category
cool beans,0,too_short
alright then,0,too_short
got it,0,too_short
sounds good,0,too_short
i work in software development,0,neutral
my favorite color is blue,0,neutral
i live in mumbai with my family,0,neutral
completed my engineering degree last year,0,neutral
i enjoy playing cricket on weekends,0,neutral
currently working from home,0,neutral
my name is john and i'm 25,0,neutral
planning to visit goa next month,0,neutral
demo mode activated let's see,0,testing
test test one two three,0,testing
sample input for testing purposes,0,testing
trial run to check functionality,0,testing
experiment with this feature,0,testing
good evening hope you're well,0,greeting
namaste how may i help you,0,greeting
hi hello testing this out,0,greeting
hey there nice to meet you,0,greeting
greetings and salutations friend,0,greeting
oh great another mental health thing,0,sarcastic
sure this will solve all my problems,0,sarcastic
yeah right like this actually works,0,sarcastic
wow such helpful much therapy,0,sarcastic
click here for more information now,0,spam
visit our website for best deals,0,spam
subscribe and hit the bell icon,0,spam
